Positive	Uttara pradeshada lakkinpura dalli shiva pooje madtidda
Mixed feelings	ಇರೋದು ಇರಭವದ್ ಗೊತ್ತಿಲ್ಲ
Positive	Devaru annonu idaane Andre avru shaapa kottidddu nijaane aagidre avru idde iruttaare elllooo ondu jaagadallli manushyara kannige kaanollla aste jaiii Sri Krishna
not-Kannada	May be sanskrit
not-Kannada	How can u say
Negative	Bari ante kante Gale agoytu. Enadru solid proof torsri avar edare annoke.
Positive	Namma manege bandidru avarige nanu nan dress kottu aliside
Negative	420 nan maga krishana
Mixed feelings	Aadu nane broo... Soul naa Replacement maddee... Bere body gee.. Antha aansthidee
Negative	En kathe kattutiya guru🤣🤣🤣🤣..... . Proof kodu sullu kathe katbeda
Positive	Nija kano adhu...neevgalu kathe katkondirodu...alla alla antha....
Positive	Avnige ella language matadoke barutta
unknown state	Pandavaru mamsa tinthidra
Negative	ha nam manegu bandiida ...
Positive	Super namboke kasta agirbodu but really agirbodu
Positive	ಮಧ್ಯ ಪ್ರದೇಶದಲ್ಲಿ ಕೂಡ ಓರ್ವ ಮಹಿಳೆಗೆ  ಮಹಾಭಾರತದ ಅಶ್ವತ್ಥಾಮ ಎಂದು ಪರಿಚಯ ಮಾಡಿಕೊಂಡು ಮತ್ತು ಅವಳಿಗೆ ಮಹಾಭಾರತದ ಸನ್ನಿವೇಶಗಳ ವಿಡಿಯೋವನ್ನು ಆ ಮಹಿಳೆಯ ಮನೆ ಗೋಡೆ ಮೇಲೆ ಮಹಾಭಾರತದ ದೃಶ್ಯಗಳನ್ನು ಬರುವ ಹಾಗೆ ಮಾಡಿದ್ದನಂತೆ ಹಾಗೂ ಅವಳಲ್ಲಿ ನೀನು ಯಾರಿಗೆ ಹೇಳದೇ   nಈ ದೃಶ್ಯ ನೋಡಬಹುದು. n     ಇಲ್ಲವಾದಲ್ಲಿ ಹೇಳಿದರೆ ಈ ದೃಶ್ಯ ಕಾಣುವುದಿಲ್ಲ. nಆದ್ದರಿಂದ ನೀನು ನನ್ನ ಮಾತಿನಂತೆ ನಡೆಯಬೇಕು ಎಂದು ವಚನ ತೆಗೆದುಕೊಂಡು ಅಲ್ಲಿಂದ ಅದೃಶ್ಯವಾಗಿದ್ದಾನಂತೆ. .....!
Positive	Idu nimage hege gottaytu?
Mixed feelings	Nija 100%  but aswastama antta heg  kandiditare..
Negative	Kannada ne barolla
Positive	Este antha helakkagall nija edhru erabahudu
unknown state	Kaiwarada thathayya(yogi narayanappa)
unknown state	Fix CCTV ......confirm
unknown state	Priya Goudar
Mixed feelings	Nane nam vasthu pradashnke bandidru gotha
Negative	Nejwad deushya torishi eg heliddu
Positive	Adu igala 1960 ali nadedidu doctor incident
Positive	Nama village ge bandidru
Negative	ಹೇಡಿ ಅಶ್ವತ್ಥಾಮ ಚಕ್ರವ್ಯೂಹದಲ್ಲಿ ಅಭಿಮನ್ಯುವನ್ನು ಎದುರಿಸಲಾಗದೆ ಪ್ರಾರಂಭದಲ್ಲೇ ಜೀವ ಉಳಿಸಿಕೊಳ್ಳುವ ಸಲುವಾಗಿ ಪಲಾಯನ ಮಾಡಿಬಿಟ್ಟ.... ಕೊನೆಯಲ್ಲಿ ಲೋಫರ್ ದುರ್ಯೋಧನನ ಮಾತು ಕೇಳಿ ಶಾಪಗ್ರಸ್ಥನಾಗಿ ಕಲಿಯುಗದಲ್ಲೇ ತಿರುಗಾಡುತ್ತಿದ್ದಾನೆ.... ಒಂದು ವೇಳೆ ನನ್ನ ಕೈಗೆನಾದರೂ ಸಿಕ್ಕರೆ ಅವನನ್ನು ಛೇಡಿಸದೆ ಬಿಡಲಾರೆನು
Positive	Sir ನಮಸ್ಕಾರ ಕಲಿಯುಗದಲ್ಲಿ ಅಶ್ವತ್ಥಾಮ ಇದ್ದಾರೆ ಅಂತ ಹೇಳಿದರು .ಎಲ್ಲಿ ಇದ್ದಾರೆ  ಅವರು ನಾವು ನೋಡಬಹುದ ನನು ನೊಡಬೇಕು ಅಂತಾ  ಇದೇ ಅಗತ್ತ sir
Positive	ಸರ್ ಕೆಲವು ಸತ್ಯಗಳನ್ನ ಜಾಸ್ತಿ ಹುದುಕಿ ತಗಿಬರ್ದು ಆದ್ರೆ ಅದು ಸತ್ಯವೇ ಆಗಿರುತ್ತದೆ
Negative	No way chance illa  ivaga elli edane proof kodi  nambteevi
Negative	All fake bro nija vishaya maatra heli bro ummane janara manasalli sullu nambike yanna huttisa bedi plzzzz
Mixed feelings	ಅಶ್ವಥ್ಥಾಮ ಚಿರಂಜೀವಿ ಆಗಿದ್ದು ಹೇಗೆ
not-Kannada	Which Language Ashwathama Speaks??  During Mahabharata period No Kannada
Negative	Ramayana agiye 500 varsha ayeetu indu sullu yakandre 5000yer back hege
Mixed feelings	magaluru kade kalsi avanannu .navu avanige maddu kodthive.
unknown state	Duplicate  video
Negative	Navu kuri Alla guru kaliyugada kaligallu
Negative	Yakri janagalna dari tapso kelsa madtira
Negative	Nija heludre heege
Positive	Eddane annodu nanna nambike.aadre ashvataamanige kannadada bartita anodu davtu
Negative	Adu nambike ashte
Positive	ನಿಜ ಇದ್ರು ಇರಬಹುದು ಸರ್
Negative	ಹೇ ಕಥೆ ಕತೇನೇ ಮಗ nಅಂಬೇಡ್ಕರ್ ಯಾರು ಗೋತಾ ಅದು nನೀವ್ ಹೇಳ್ತೀರಲ್ಲ ಕಲಿಯುಗ..ದೊರೆ  ದೊರೆ ನೇ ಇದು ಕರ್ನಾಟಕದಲ್ಲಿ nDPS ಕರ್ನಾಟಕ ದಲಿತ ಪ್ರಜಾ ಸೇನೆಯ ಸಾರಥಿಗಳು
Negative	Le nimmouna thullagaa naayi tunni saabarige huttida MidArimagane
Positive	Btv avra hatra video clip irbodu.... ಇದ್ರೆ ಹಾಕಿ plzz
Positive	ಅವನಿಗೆ ಕನ್ನಡ ಭಾಷೆ ಬರುತಿತ್ತ?
not-Kannada	Wt a question bro
Positive	Ayo mostly avarige samskruti bhase barutee ansathe
Positive	@Nithya Sudha avaru devategalu devategalige Ella bhashe barutte
not-Kannada	Is it true
Positive	Avnu yava language mathadodu
not-Kannada	O my god
Positive	ಕುಮಾರವ್ಯಾಸ ಅಂದರೆ ಗದುಗಿನ ನಾರಣಪ್ಪ ನವರ ಬಗ್ಗೆ ಅಭ್ಯಾಸ ಮಾಡಿ
not-Kannada	This real jai krishna krishna
Positive	Sir avrudu bhashe yavdu a doctor bali yav bhashe matanadid ?
Mixed feelings	Ashwatama ge Kannada barutte yenri
Negative	Illa guru.. Ashwatama na.. Bhaashe ivrige. Barutte ansutte....
Negative	@Akki MAnna summan namana huchhar olage tagyatara
not-Kannada	@Sagar sagar  s u r correct bro..
Mixed feelings	Ashwatama ge Hindi barutte yenri
Negative	Namboke sadyane illa
Positive	ಸರ್ ನೀವು ಹೇಳಿದ ಪ್ರತಿಯೊಂದು ಮಾತೂ ನಿಜ.ಜೊತೆಗೆ ಇದರಿಂದ ಸ್ವಲ್ಪವಾದರೂ ಕಲಿತು ಚಿಕ್ಕ ಮಟ್ಟದಲ್ಲಿ ದೇಶದ ಅಭಿವೃದ್ಧಿಗೆ ಪೂರಕವಾದ ಶಿಕ್ಷಣ ಮತ್ತು ಉತ್ಪಾದನೆಯ ಮಾರ್ಗದಲ್ಲಿ ನಡೆಯಲು ಶುರು ಮಾಡಲೇಬೇಕಾದ ಕಾಲವಿದು.ಬನ್ನಿ ಗ್ರಾಮೀಣ ಒಕ್ಕೂಟವಾದ ನಮ್ಮ ಗ್ರಾಮಗಳಲ್ಲಿರುವ ಮೂಲಗಳನ್ನೇ ಉಪಯೋಗಿಸಿಕೊಂಡು ನಮ್ಮ ಹಳ್ಳಿಯ ಜನರ ಅವಶ್ಯಕತೆಗಳ್ನ ನಮ್ಮ ಹಳ್ಳಿಗಳಲ್ಲಿಯೇ ದೊರೆಯುವ ವಸ್ತುಗಳನ್ನು ಬಳಸಿ ಪೂರೈಸುವ ಕೆಲಸಕ್ಕೆ ಮುಂದಾಗೋಣ.ಇದೇ ನಮ್ಮ ಭವ್ಯ ಬಲಿಷ್ಠ ಭಾರತದ ನಿರ್ಮಾಣಕ್ಕೆ ಮೊದಲ ಹೆಜ್ಜೆ.
Mixed feelings	Prajakeeyada bagge videos madi please
Mixed feelings	ನಿಜ ನಾ ಇಷ್ಟು ಚನ್ನಾಗಿ  ಹೇಳಿದಿರ
unknown state	Hinene sariyagide sir
Mixed feelings	Yar bekadru PM agakke agolla
unknown state	Navu. Rent tagondu
Positive	oba mele hogutidane andre navanige melle hogokke sahay madobadallu avan kalu aledu kelage billisoke nodo janare nammalijas
Negative	ಒಂದು ದೇಶದ ಮುಂದುವರಿಯುವುದು ಅದರ ಆರ್ಥಿಕ ಸ್ಥಿತಿಯನ್ನು ಅವಲಂಬಿಸುವುದಿಲ್ಲ. ಅವರು ಮಾನವೀಯತೆಯಲ್ಲಿ ಎಷ್ಟು ಸಮರ್ಥರು ಎನ್ನುವುದನ್ನು ಅವಲಂಬಿಸಿದೆ. ಭಾರತದಲ್ಲಿ ಅನಕ್ಷರತೆ ಇದೆ ಆ ಅನಕ್ಷರಸ್ಥರನ್ನು ಅವರ ಅನಕ್ಷರತೆಯೇ
Positive	ಸಂಪೂರ್ಣ ಮಾಹಿತಿ ಅಣ್ಣಾ ಧನ್ಯವಾದಗಳು
unknown state	Well side bro
Negative	First India na America ke compare madtidru alli hangide ingide anta ivaga. India na China compare madtavre nnNav bari compare madtivi vartu namunyaru compare modo hage hogalla
Positive	ತನ್ನ ಉತ್ತಮ ಗುಣಮಟ್ಟವನ್ನು ಸಾಬೀತು ಮಾಡುತ್ತಾ ಮುಂದೆ ಸಾಗುತ್ತಿದೆ... We love you  #ಮಸ್ತಮಗಾ team🤩
Negative	Worst = Raaja-kiyanBest = prajaa-kiya
unknown state	Amar Prasad .com
Positive	Sir eega navu uthpadane madidanna vedeshakee yavareeti procedure mulaka kalstatee.yavdee lancha eladee.
Mixed feelings	Modi idare don't worry
Positive	ನಿಮ್ಮ‌ ಈ ಮಾಹಿತಿಗೆ ಧನ್ಯವಾದ ಸರ್.. ನಾವು ಸಾಮಾನ್ಯ ಜನ‌ ಜಸ್ಟ್ ವಿಡಿಯೋ ನೋಡ್ಕೊಂಡು‌ ಇಂಡಿಯಾ ಬಗ್ಗೆ ಯೋಚನೆ‌ ಮಾಡಿದ್ರು ಅದು‌ ಉಪಯೋಗ ಆಗಲ್ಲ ಈ ಮಾಹಿತಿ ಕೆಲವೊಂದು ವರ್ಗದ‌ ಜನರಿಗೆ ಮನಮುಟ್ಟುವಂತೆ ಆಗ್ಬೇಕು‌ ಆಗ ಏನಾದ್ರು ಚೇಂಜ್ ಅಗಬಹುದೆನೋ ಗೊತ್ತಿಲ್ಲ..
Positive	ಭಾರತದ ಮೊದಲ ಪ್ರಮುಖ ಪಿಡುಗು ಭ್ರಷ್ಟಾಚಾರ ಭಾರತದಲ್ಲಿ ಭ್ರಷ್ಟಚಾರ ಯಾವಾಗ ನಿರ್ಮೂಲನೆಯಾಗುತ್ತದೆ ಅವಾಗ ಮಾತ್ರ ಭಾರತ ಪ್ರಪಂಚದ ಶಕ್ತಿಶಾಲಿ ಸೂಪರ್ ಪವರ್ ರಾಷ್ಟ್ರವಾಗಿ ರೂಪುಗೊಳ್ಳುತ್ತದೆ
Negative	BrasthacharA  ellada deshane Ella. bharatha deshadalli  navella ondhe annodu   bhavane modhalu barbeku.  Ondhu jathiyavaru ennondhu jathiyavaru dhosisodhu  adhu kadime  aagbeku. Rajakiyadavaru navella ondhe.yella pakshadavaru ondagi desha katto kelasa aagbeku .aaga navu Hantha Hantha vagee mele barbahudhu
Mixed feelings	Sir ee varshada sikshanada bagge tilisi
Negative	Sir solla video time kadime madi
Negative	Helodannu kadime madu antialla desha uddarane
Positive	ಚೀನಾ ನಿಜವಾದ ಕಮ್ಯೂನಿಸ್ಟ್ ರಾಷ್ಟ್ರ ಆದರೆ ಆಲ್ಲಿನ ಕಾನೂನು  ಹಾಗಿಲ್ಲ ಆದರೆ ನಮ್ಮದೇಶ ಸ್ವತಂತ್ರ ದೇಶ ಆದರೆ ಕಾನೂನು ನಕ್ಸಲಿ ಕಾನೂನ ದುಡಿಯುವವನ ಬಳಿ ಕಿತ್ತು ಕುಳಿತ ಸೊಂಬೇರಿಗಳ ಸಾಕುವ ಮಹಾನ್ ದಾರಾಳ ದುರಬುದ್ದಿಯ ರಾಷ್ಟ್ರ ನಮ್ಮ  ಭಾರತ... ಇಲ್ಲಿ  ಬಿಟ್ಟಿ ಅಕ್ಕಿ ಬಿಟ್ಟಿ ದಿನಸಿ ಬಿಟ್ಟಿ TV  ಮಿಕ್ಸಿ ಎಲ್ಲಾ ಸರ್ಕಾರವೇ ಕೊಡುತ್ತೆ ನಾವುಗಳು ಬರಿ ಹೆಣ್ಣು ನೋಡಿಕೊಂಡು ಮದುವೆ ಆಗಿ ಮಕ್ಕಳು  ಹುಟ್ಟಿಸಿದರೆ ಸಾಕು ಮತ್ತೆ  ಆ ಮಕ್ಕಳನ್ನೂ ನಮ್ಮ  ದೇಶದ ಆಡಳಿತ ಸರ್ಕಾರಗಳು ಸಾಕಿಕೊಳ್ಳುತ್ತವೆ ಏಕೆಂದರೆ  ಅದು ಭವಿಷ್ಯದ ಓಟು.... nಭಾರತ ಇಂಥಹ ನೀಚ ಮನಸ್ಥಿತಿಯಿಂದ ಹೊರಬಂದು  ಯುವ ಜನತೆಗೆ ಶ್ರಮವಹಿಸಿ ದುಡಿಯೊದು ಕಲಿಸದಿದ್ದರೆ ಈ ದೇಶ ಭಿಕ್ಷುಕರ ನಾಡಾಗುತ್ತೆ... nಸೊಂಬೇರಿಗಳ ಮಹಾನ್ ಭಾರತ...
Positive	ಈ ಎಲ್ಲ ಅಂಶಗಳನ್ನು ಗಮನಿಸಿದರೆ ನಮ್ ದೇಶದಲ್ಲಿಯೂ ಸಾರ್ವಭೌಮತ್ವ ಇರಬೇಕಿತ್ತು ಅನ್ಸುತ್ತೆ.
Positive	ವಾವ ಸುಪರ್ ಅನಾಲಸಿಸ್ನಮ್ಮ ದೇಶ ಓಳ್ಳೇದೆ...ಮಾತ ಜಾಸ್ತಿ  ಕೆಲಸ ಕಮ್ಮಿ.....ನನ್ನು ಸೇರಿ.
Negative	Sir mate communist best antiria nDemocracy li rajakarnigalu kithadtare
unknown state	@Sai Kumar may be
Negative	ಇದು  ಸುಳ್ಳು    ಚೀನಾ    ಕಾರ್ಮಿಕರಿಗೆ  ಗಂಟೆ  ಲೆಕ್ಕದಲ್ಲಿ  ಸಂಬಳ    ಕೊಡುತ್ತಾರೆ
Mixed feelings	Gurve egle Google nali search madu
Negative	ಈ ದೇಶದ ದುರಂತ
Negative	E video nodi Namma desha e stiti nodi bejar aytu nBangarada akki agidda bharatakke e paristi barabaradittu
Negative	RSS avaru thumba danger. Avara bhagge ondu episode maadi sir
Positive	@pruthvisagar sagar but create hindi muslim divide
Negative	USA brand but aduna produce madoke USA ali skilled labour ilvala aduke china davru madtarennApple mobile togondru china ke income hogute
unknown state	Agadre no 3 yaru
Positive	ಭಾರತ ಬೇಳಿಬೇಕು ಅಂದ್ರೆ ಇಲ್ಲಿನ ಜನಾನೆ ಏನಾದ್ರೂ ಮಾಡಬೇಕು
Negative	Bharatadalli Experience kelidre en madodu? Nav hosa kelsa madoke ready idivi
Negative	ಚೀನಾ ಒಂದು ವಿಷಯಕ್ಕೆ ಇಷ್ಟ ಆಗುತ್ತೆ nಏನೆಂದರೆ
Negative	Illi neevu aa hesaranna heLohagoo ilvalla.48 beka bitti thinno baayiglu ottigr barathve.modalu lancha hogbeku
Negative	@Usha Rao modlu caste system hogbeku inter caste marriage hecchige agbeku...yavag caste hogutto avage reservation hogutte..ella kade nim caste yavudu anta kelore hecchidare..bekabitti illi yaru tinutilla adu hakkide...ella 75%india du property obbare caste hattir ide adu tamugu gottu.
Negative	Castisam hogbeku jati tegibeku racisam tegibeku hindu dhrama vaggudbeku desh mund hoguthe.
Negative	@sumya kulkarni ನೀವು ಬ್ರಾಹ್ಮಣರಾಗಿ intercast marriage agoke dairya idena ? Never.
Negative	@Unity of India nam deshadalli poor people heecchide..yakandre caste system saluvagi avar hattir property hecchide karan avaru hinde caste system mele janagalannu looti madi tamma property hecchu madkondidare adre belove caste ge astu property iralla so adar saluvagi avaru yavaglu badadvarage ulitidare yavag nam sampattu samanavagi hanchuttivo avage desha develop agodu
unknown state	ಪ್ರಪಂಚವನ್ನೇ ನಡುಗಿಸುತ್ತಿರುವ ಉಗ್ರವಾದ ಕರೋನಾಗೆ ಶಾಕ್!!nರೂ.50
Negative	ಇಲ್ಲಿ ನಡೆದಿರೋ ಚರ್ಚೆ ನೋಡಿದ್ರೇ ಗೊತ್ತಾಗುತ್ತೆ ನಮ್ ದೇಶ ಯಾಕ್ ಹಿಂಗಿದೆ
Positive	@sumya kulkarni ನೀವು ಹೇಳೋದಕ್ಕೂ.... ದೇಶದ ಅಭಿವೃದ್ಧಿಗೂ ಸ್ವಲ್ಪನೂ ಸಂಬಂಧವಿಲ್ಲ.......ನನ್ನ ಪ್ರಕಾರ ಭ್ರಷ್ಟಾಚಾರ ನಿರ್ಮೂಲನೆ ಆಗಬೇಕು
Mixed feelings	@its my opinion ಬಹಳ ಧನ್ಯವಾದಗಳು.....
Negative	@Unity of India ನಾವೂ ಬ್ರಹ್ಮಣರು ಆಗುವುದಿಲ್ಲ ಏಕೆಂದ್ರೆ ಅವರು ಅಂಧಕಾರಲಿ  ಬದುಕುತಾರೆ ನಾವು ಗಳೂ ಹಿಂದೂಗಳೇ ಆದ್ರೆ ಹಿಂದೂಗಳೂ ಹಿಂದೂಗಾಳ ಮೇಲೆನೆ ಅನ್ಯಾಯ ಮಾಡ್ತಾರೆ ಅಧೋಸ್ಕರ ನಾವು ಹಿಂದೂ ಧರ್ಮ ಬಿಟ್ಟು ಪವಿತ್ರಾ ಬೋವ್ದ ಧರ್ಮಕೆ ಬುಧನ ದಾರಿಯಲಿ ನಡೆಯುತ್ತೇವೆ ನಾವು ನಡೆದೇ ನಡೆಯಿತೇವೆ ಭಾರತ ಬುದ್ಧ ರಾಗುತ್ತೆವೆ
Negative	@sumya kulkarni ಭ್ರಷ್ಟಾಚಾರ ಹೋಗೋದು ಕಠಿಣ ಕಾನೂನುಗಳಿಂದ.......ಅದಕ್ಕೆ ರಾಜಕೀಯ ಇಚ್ಚಾಶಕ್ತಿ ಬೇಕು.... ಈ ಕಳ್ಳ ಕಾಂಗ್ರೆಸ್ ನಮ್ಮ ದೇಶವನ್ನು ಹಾಳು ಮಾಡ್ತು
Negative	@Unity of India ...ಅಂತರ್ ಜಾತಿ ವಿವಾಹಕ್ಕು...... ಜಾತಿ ವ್ಯವಸ್ಥೆಗೂ......ದೇಶ ಉದ್ದಾರಕ್ಕೂ ಸಂಬಂಧವಿಲ್ಲ......
Positive	@Usha Rao ಇವರಿಗೆ ಇದೆಲ್ಲ ಹೇಳಿದ್ರೆ ಅವರು ನಂಬೋಲ್ಲ......ಅವರದು ಒಂದು ರೀತಿ ಆಜ್ನ್ಯಾನ......ಜಾತಿ ವ್ಯವಸ್ಥೆಗೂ ದೇಶದ ಅಭಿವೃದ್ಧಿಗೂ ಸಂಬಂಧವಿಲ್ಲ
Negative	@Dayananda C lol judge ge lancha kottu jailge hogi bandirorna CM madiroru 420 BJP
Negative	@Dayananda C lol antarjati vivaha adre caste fear iralla. Nanu a caste e caste anta vote hakkala yalla mixed hagirtare. Sariyadavrge vote haktare.  Jailge hogibandavrge hakkala
Negative	@king k ....ಎಲ್ಲಾ ರಾಜಕಾರಣಿಗಳು ಕಳ್ಳರೆ.... ಇದ್ದುದರಲ್ಲಿ ಬಿಜೆಪಿ ಯವರು ಕಡಿಮೆ ಕಳ್ಳರು....
Mixed feelings	@king k 9880823640.....ಇದು ನನ್ನ ಫೋನ್ ನಂಬರ್....ನಿನ್ನ ಎಲ್ಲ ಪ್ರಶ್ನೆಗಳಿಗೆ ಉತ್ತರಿಸುವೆ
Negative	@king k ...ಕರ್ನಾಟಕದಲ್ಲಿ ಅತ್ಯಂತ ಭ್ರಷ್ಟರು ಅಂದ್ರೆ ಜೆಡಿಸ್...ಮತ್ತು ಕಾಂಗ್ರೆಸ್.....ಇವರು ನಿಪುಣರು ...ಹಾಗಾಗಿ ಇವರು ತಪ್ಪಿಸಿಕೊಳ್ತಾರೆ......ಅರ್ಥ ಮಾಡಿಕೊಳ್ಳದೆ ಮಾತಾಡಬೇಡ.....
Negative	@Dayananda C howda BJP yavaru kadime kallara mate yaddiyuvarappa  yake jailge hogi bandru . 15 minister jailge hogidyake?? nNin first corectagi artha madka first
Mixed feelings	@Dayananda C sir ivaga hagalla belige call maditini heli. Prashne keltini. Political bittu . Abhirudhi bagge keltini heli.
Positive	India kudda Munde baruthe But late....navella Odmele
Positive	China copy maadi naawu maadbekilla.. jana alli khushyaagilla.. naadre niw helidralli tumba kelsa aagbeku.. bhaaratadalli adella maadodu janakku bekaagalla
Mixed feelings	Sir u copy dr vivek bindra sir
unknown state	Thank  you  sir
Positive	ಏನ್ರೀ ಇದು ಇಷ್ಟು ಜಾಹಿರಾತುಗಳು ಬರ್ತಾ ವೇ ಸ್ಕಿಪ್ ಮಾಡಿ ಮಾಡಿ ನೋಡಬೇಕಾಗಿದೆ
Negative	Bro navu arvinda tilkotidivi andre navu avrige yenadru kodbeku dodd dodd channel galige hinde dodd vyakti irtare so skip madade nodi avrigu duddu barli  .
Positive	Guru China rajakiya vyavaste bagge video madi
Negative	Sir ond compeny yalli kelsa madidra gov employes labor officer bookmadkond laber ge 5000 salry kotre employe mane  est kasta alva. yava gov sarilla sir nav egga comment madkondu saibeku aste
not-Kannada	Super super video
Positive	ಒಂದು Angle ನಲ್ಲಿ ನೋಡಿದ್ರೆ ಚೀನಾ ಕಮ್ಯುನಿಸ್ಟ್ ಪಕ್ಷಗಳು ಬೆಸ್ಟ್
unknown state	ಆದ್ರೆ ಚೀನಾ ಗೇ ಬಕೆಟ್ ಹಿಡಿತಾರೇ
